degree_id,degree_name,degree_code,created_at
1,Graduate Diploma of Early Childhood Teaching,GD-ECTEAS,2026-02-22 11:50:04.268711+00
2,Bachelor of Design/Bachelor of Media and Communication,BB-DESMCMN,2026-02-22 11:50:04.268711+00
3,Graduate Certificate of Counselling,GC-COU,2026-02-22 11:50:04.268711+00
4,Graduate Certificate in Clinical Supervision,GC-CLSUP,2026-02-22 11:50:04.268711+00
5,Diploma of Event Management,SIT50322,2026-02-22 11:50:04.268711+00
6,Certificate IV in Cyber Security,22603VIC,2026-02-22 11:50:04.268711+00
7,Master of Teaching,Secondary,2026-02-22 11:50:04.268711+00
8,Graduate Certificate of Aviation,Piloting,2026-02-22 11:50:04.268711+00
9,Bachelor of Aviation and Piloting,BA-AVPIL,2026-02-22 11:50:04.268711+00
10,Bachelor of Games and Interactivity,BA-GAMIA,2026-02-22 11:50:04.268711+00
11,Graduate Diploma of Information Technology,GD-IT1,2026-02-22 11:50:04.268711+00
12,Bachelor of Health Science,BA-HSC1,2026-02-22 11:50:04.268711+00
13,Certificate IV in Leadership and Management,BSB40520,2026-02-22 11:50:04.268711+00
14,Masterclass: Agile Project Management,MCAPM,2026-02-22 11:50:04.268711+00
15,Continuing Professional Development,CPD,2026-02-22 11:50:04.268711+00
16,Graduate Diploma of Financial Planning,GD-FINPLS,2026-02-22 11:50:04.268711+00
17,Diploma of Applied Technologies,DP-APPTEC,2026-02-22 11:50:04.268711+00
18,Advanced Diploma of Interior Design,MSF60118,2026-02-22 11:50:04.268711+00
19,Doctor of Philosophy,DR-INTDES,2026-02-22 11:50:04.268711+00
20,Bachelor of Laws/Bachelor of Cyber Security,BB-LAWCYB,2026-02-22 11:50:04.268711+00
21,Certificate III in Engineering - Fabrication Trade,MEM30319,2026-02-22 11:50:04.268711+00
22,Enterprise Trainer - Presenting Skill Set,TAESS00014,2026-02-22 11:50:04.268711+00
23,Diploma of Youth Work,CHC50421,2026-02-22 11:50:04.268711+00
24,Diploma of Quality Auditing,BSB50920,2026-02-22 11:50:04.268711+00
25,New Supervisor,NEWSIS,2026-02-22 11:50:04.268711+00
26,Graduate Certificate in Organisational Coaching,10778NAT,2026-02-22 11:50:04.268711+00
27,Bachelor of Science,BA-SC2,2026-02-22 11:50:04.268711+00
28,Graduate Certificate of Management,Workplace Transformation,2026-02-22 11:50:04.268711+00
29,Certificate IV in Laboratory Techniques,MSL40122,2026-02-22 11:50:04.268711+00
31,Diploma of Photography and Digital Imaging,CUA50920,2026-02-22 11:50:04.268711+00
33,Negotiation skills,NGOIS,2026-02-22 11:50:04.268711+00
34,Bachelor of Psychological Sciences,BA-PSYS,2026-02-22 11:50:04.268711+00
35,Certificate IV in Allied Health Assistance,HLT43021,2026-02-22 11:50:04.268711+00
36,Undergraduate Certificate of Business,CU-BUSS,2026-02-22 11:50:04.268711+00
38,Doctor of Philosophy and Graduate Certificate of Research and Innovation Management,DR-LAWGC,2026-02-22 11:50:04.268711+00
39,Microsoft Excel Intermediate,EXCBIS,2026-02-22 11:50:04.268711+00
40,Diploma of Sport,SIS50321,2026-02-22 11:50:04.268711+00
42,Bachelor of Laws/Bachelor of Arts,BB-LAWART,2026-02-22 11:50:04.268711+00
43,Mental Health Essentials for People Leaders,SCMHEPL,2026-02-22 11:50:04.268711+00
44,Diploma of Vocational Education and Training/Diploma of Training Design and Development,TAE50116/T,2026-02-22 11:50:04.268711+00
45,Bachelor of Education,Early Childhood and Primary,2026-02-22 11:50:04.268711+00
46,Graduate Certificate of Data Science,GC-DATASC,2026-02-22 11:50:04.268711+00
47,Graduate Certificate of Business Administration,GC-BUSADM4,2026-02-22 11:50:04.268711+00
48,International Exchange Program,IX-INTX,2026-02-22 11:50:04.268711+00
