unit_id,unit_name,unit_code,credit_points,created_at
1,3D Character Modelling,DDD20023,12.50,2026-02-22 11:50:04.354361+00
2,Technology and Innovation in Society Field Project,ENG30003,12.50,2026-02-22 11:50:04.354361+00
3,Digital Trust and Inclusion,ICT20022,,2026-02-22 11:50:04.354361+00
4,Work Integrated Learning Placement - Information and Communication Technology (3 months),ICT20016,,2026-02-22 11:50:04.354361+00
5,Legal Research Project,LAW30026,12.50,2026-02-22 11:50:04.354361+00
6,Innovation Strategy as a tool of Entrepreneurship,ENTM00005,,2026-02-22 11:50:04.354361+00
7,Resource Planning and Management,MME80001,12.50,2026-02-22 11:50:04.354361+00
8,Typography for Print and Interactive Publication,DCO20009,12.50,2026-02-22 11:50:04.354361+00
9,Wireless Communication Techniques,TNE60005,12.50,2026-02-22 11:50:04.354361+00
10,International Internship - Health (Extended),HEA20005,25.00,2026-02-22 11:50:04.354361+00
11,Humanitarian Engineering Design Project,ENG10001,12.50,2026-02-22 11:50:04.354361+00
12,Advanced Topics in Biotechnology,BIO80001,12.50,2026-02-22 11:50:04.354361+00
13,Social Science Research Methods,SOC30019,,2026-02-22 11:50:04.354361+00
14,Business for Social Impact Study Tour,BUS30030,12.50,2026-02-22 11:50:04.354361+00
15,Network Administration,TNE10005,12.50,2026-02-22 11:50:04.354361+00
16,Information Technology Project,ICT30001,12.50,2026-02-22 11:50:04.354361+00
17,Agile Methods for Business Analysis,INF30034,12.50,2026-02-22 11:50:04.354361+00
18,History and Philosophy of Psychology,PSY70017,12.50,2026-02-22 11:50:04.354361+00
19,Financial Statistics,FIN10002,12.50,2026-02-22 11:50:04.354361+00
20,Behaviour in Organisations,HRM60016,12.50,2026-02-22 11:50:04.354361+00
21,Editing for Writers,PWR10002,12.50,2026-02-22 11:50:04.354361+00
22,Design and Delivery for Online Learning,EDU60014,,2026-02-22 11:50:04.354361+00
23,Introduction to Critical Thinking and Research Methodology,PHI10005,12.50,2026-02-22 11:50:04.354361+00
24,Screen Franchising and Innovation,MDA20007,12.50,2026-02-22 11:50:04.354361+00
25,"Physical Activity, Health and Technology",SPH10013,12.50,2026-02-22 11:50:04.354361+00
26,Economic Policy in Society,ECO30002,,2026-02-22 11:50:04.354361+00
27,Architectural Design Studio 1 (Communication),ARC10001,25.00,2026-02-22 11:50:04.354361+00
28,Electrical Machines,EEE20005,12.50,2026-02-22 11:50:04.354361+00
29,Project Management and Practice,DDD30038,12.50,2026-02-22 11:50:04.354361+00
30,Advanced Commercial Law,LAW20047,12.50,2026-02-22 11:50:04.354361+00
31,Mathematics 4A,MTH20011,12.50,2026-02-22 11:50:04.354361+00
32,Hardware-Software Codesign,EEE40014,,2026-02-22 11:50:04.354361+00
33,Social Entrepreneurship and Innovation,ENT30012,,2026-02-22 11:50:04.354361+00
34,Fashion Design Capstone,DDD30053,25.00,2026-02-22 11:50:04.354361+00
35,Branded Environment Design Studio 2,DBE30003,12.50,2026-02-22 11:50:04.354361+00
36,Introduction to Health Sciences,HEA10001,12.50,2026-02-22 11:50:04.354361+00
37,Mobile Business and Social Media,INF60013,12.50,2026-02-22 11:50:04.354361+00
38,Cardiorespiratory Physiotherapy,PHT60004,12.50,2026-02-22 11:50:04.354361+00
39,Case Studies in Design Practice,DCO30003,25.00,2026-02-22 11:50:04.354361+00
40,FHAD Study Tour 1,MFP20002,12.50,2026-02-22 11:50:04.354361+00
41,Professional Internship - Business,BUS20009,12.50,2026-02-22 11:50:04.354361+00
42,Studio 4: Open Studio,DDD70020,25.00,2026-02-22 11:50:04.354361+00
43,Industry Professional Practice 1,SPH30016,12.50,2026-02-22 11:50:04.354361+00
44,How to Think Like a Hacker: an anatomy of cyber attacks,CYB60001,12.50,2026-02-22 11:50:04.354361+00
45,Counselling Research Processes,PSC70009,,2026-02-22 11:50:04.354361+00
46,"Popular Culture, Social Change and Technology",SOC10014,12.50,2026-02-22 11:50:04.354361+00
47,Multiplatform Media Production & Practice,MDA60002,12.50,2026-02-22 11:50:04.354361+00
48,Societal Challenges in Science,NPS20011,12.50,2026-02-22 11:50:04.354361+00
49,Spectroscopy and Instrumentation,CHE20009,12.50,2026-02-22 11:50:04.354361+00
50,Teaching Technologies,EDU30059,12.50,2026-02-22 11:50:04.354361+00
51,Virtual Instrumentation,EEE80021,12.50,2026-02-22 11:50:04.354361+00
52,Integrated Professional Placement A – Law,LAW20021,,2026-02-22 11:50:04.354361+00
53,BIM and Digital Technologies for Construction 2,CSM20004,25.00,2026-02-22 11:50:04.354361+00
54,Growth Management,ENT70012,12.50,2026-02-22 11:50:04.354361+00
55,Topographical Engineering,CVE20001,12.50,2026-02-22 11:50:04.354361+00
